Title,Description,Location,Date,Price,Marketed
5 Bedroom Fully Detached Duplex,5 bedroom detached duplex for sale,"  Egbeda, Alimosho, Lagos",Added on 30 Aug 2022,"₦120,000,000 ",Real Estate Consultancy Firm  09044759042 
2 Bedroom Fully Finished Apartment,2 bedroom flat / apartment for sale,"  1, Adesina, Opposite Lambe Street, Akowonjo, Alimosho, Lagos",Added on 28 Aug 2022,"₦25,000,000 ",Pertinence Group  07086577026 
Block Of Flats,14 bedroom block of flats for sale,"  Off Okunola, Egbeda, Alimosho, Lagos",Added on 09 Jun 2022,"₦40,000,000 ",Letsales.com.ng  07064937423 
Building Consist Of Four Numbers Of Three Bedroom Apartments,3 bedroom block of flats for sale,"  Igando, Alimosho, Lagos",Added on 16 Jul 2022,"₦28,000,000 ",Brokerlease Properties And Real Estate  08084833523  
Three Bedroom Bungalow,3 bedroom detached bungalow for sale,"  Igando, Alimosho, Lagos",Added on 22 Aug 2022,"₦8,000,000 ",Brokerlease Properties And Real Estate  08084833523 
Four Numbers Of Flat,2 bedroom block of flats for sale,"  Igando, Alimosho, Lagos",Added on 22 Aug 2022,"₦15,000,000 ",Brokerlease Properties And Real Estate  08084833523 
"5 Bedroom Mansion 2 Flat And Household Items Facilities, Micano Gen.",8 bedroom detached duplex for sale,"  Baruwa, Beside Gowon, Egbeda, Alimosho, Lagos",Added on 22 Aug 2022,"₦100,000,000 ",Temitope Global Team Services  07033714272 
Commercial 3 Plot Together On Major Express With C Of O,Commercial land for sale,"  Lasu Igando Road, Igando, Alimosho, Lagos",Added on 22 Aug 2022,"₦200,000,000 ",Temitope Global Team Services  07033714272 
Two Block Of 3 Bedroom Flats With A Bungalow On Two Plot Of Land,3 bedroom block of flats for sale,"  Off Agric Road, By Ara Junction, Egan, Igando, Alimosho, Lagos",Added on 21 Aug 2022,"₦80,000,000 ",Amerison Onorose Nig Ltd  +2348033956486 
An Exquisitely Newly Built 5 Bedroom Fully Detached Duplex With Bq,5 bedroom detached duplex for sale,"  Igando, Alimosho, Lagos",Added on 19 Aug 2022,"₦70,000,000 ",Loyalty Homes Limited & Autos Reg No 1738187  08169222741 
Executive 6 Bedroom Modern Duplex,6 bedroom detached duplex for sale,"  Unity Estate, Egbeda, Alimosho, Lagos",Added on 18 Aug 2022,"₦100,000,000 ",Loyalty Homes Limited & Autos Reg No 1738187  08169222741 
Bungalow,3 bedroom semi-detached bungalow for sale,"  Shagari Estate, Egbeda, Alimosho, Lagos",Added on 12 Aug 2022,"₦45,000,000 ",Grandmasters & Sons  08055051674 
"A Block Of 2 Number Of.3-bedroom Flats, 2 Number Of 2-bedroom Flatt And 2-b...",3 bedroom block of flats for sale,"  Olushesan Ishola Avenue By Oko Filling Station Opp G.h. M. Igondo, Alimosho, Lagos",Added on 11 Aug 2022,"₦100,000,000 ",Cletus Agadi And Company  08053968052 
A Plot Of Land At A Well Developed Location,Residential land for sale,"  Isheri Olofin, Alimosho, Lagos",Added on 28 Jul 2022,"₦4,500,000 ",Letsales.com.ng  07064937423 
Title,Description,Location,Date,Price,Marketed
One And Half Plot With Extension Along The Road,Mixed-use land for sale,"  Igando, Egbeda, Alimosho, Lagos",Added on 13 Jun 2021,"₦60,000,000 ",Brokerlease Properties And Real Estate  08084833523 
A Functional Hotel With 25 Rooms In A Serene Environment,25 bedroom hotel / guest house for sale,"  Lasu Isheri Expressway, Igando, Alimosho, Lagos",Added on 15 Jul 2022,"₦150,000,000 ",Amerison Onorose Nig Ltd  +2348033956486 
Furnished 6 Bedroom Detached Duplex With Bq,6 bedroom detached duplex for sale,"  Egbeda, Alimosho, Lagos",Added on 14 Jul 2022,"₦55,000,000 ",Skyrock Home Global Limited  08038328517 
